COURSE_NAME,DATE_PLAYED
Moortown Golf Club,2023-04-09
Rudding Park Golf Club,2023-05-13
Scarcroft Golf Club,2023-07-06
QHotels Oulton Hall Golf Club,2023-07-29
Spofforth Golf Club,2023-09-05
Ganton Golf Club,2023-09-06
Leeds Golf Club (Cobble Hall),2023-09-08
Calverley Golf Club,2023-09-22
Headingley Golf Club,2023-09-25
Leeds Golf Centre (Wike Ridge),2024-01-27
Tadcaster Golf Club (Scarthingwell),2024-02-25
Alwoodley Golf Club,2024-05-24
Swallow Hall Golf Club,2024-06-10
The Manor Golf Club,2024-07-07
Selby Golf Club,2024-07-19
Cleveland Golf Club,2024-08-01
Cookridge Hall Golf Club,2024-08-25
Moor Allerton Golf Club,2024-12-31
