COURSE_NAME,REGION
Aldwark Manor Golf Club,NORTH_YORKSHIRE
Allerthorpe Golf & Park Retreat,NORTH_YORKSHIRE
Ampleforth College Golf Club,NORTH_YORKSHIRE
Bedale Golf Club,NORTH_YORKSHIRE
Bentham Golf Club,NORTH_YORKSHIRE
Catterick Golf Club,NORTH_YORKSHIRE
Cocksford Golf Club,NORTH_YORKSHIRE
Drax Golf Club,NORTH_YORKSHIRE
Easingwold Golf Club,NORTH_YORKSHIRE
Filey Golf Club,NORTH_YORKSHIRE
Flaxby Park Golf & Country Club,NORTH_YORKSHIRE
Forest of Galtres Golf Club,NORTH_YORKSHIRE
Forest Park Golf Club,NORTH_YORKSHIRE
Fulford Golf Club,NORTH_YORKSHIRE
Ganton Golf Club,NORTH_YORKSHIRE
Hainsworth Park Golf Club,NORTH_YORKSHIRE
Harrogate Golf Club,NORTH_YORKSHIRE
Heworth Golf Club,NORTH_YORKSHIRE
Hunley Hotel and Golf Club,NORTH_YORKSHIRE
Hunmanby Hall Golf Course,NORTH_YORKSHIRE
Juniper Golf Club,NORTH_YORKSHIRE
Kilnwick Percy Golf Club,NORTH_YORKSHIRE
Kirkbymoorside Golf Club,NORTH_YORKSHIRE
Knaresborough Golf Club,NORTH_YORKSHIRE
Lebberston Golf Club (Closed),NORTH_YORKSHIRE
Malton and Norton Golf Club,NORTH_YORKSHIRE
Masham Golf Club,NORTH_YORKSHIRE
Middlesbrough Municipal Golf Centre,NORTH_YORKSHIRE
Oakdale (Harrogate) Golf Club,NORTH_YORKSHIRE
Pannal Golf Club,NORTH_YORKSHIRE
Pike Hills Golf Club,NORTH_YORKSHIRE
Raven Hall Country House Hotel & Golf Course,NORTH_YORKSHIRE
Richmond (Yorkshire) Golf Club,NORTH_YORKSHIRE
Ripon City Golf Club,NORTH_YORKSHIRE
Romanby Golf & Country Club,NORTH_YORKSHIRE
Rudding Park Golf Club,NORTH_YORKSHIRE
Sandburn Hall,NORTH_YORKSHIRE
Sawdon Pines Golf Club,NORTH_YORKSHIRE
Scalm Park Golf Club,NORTH_YORKSHIRE
Scarborough North Cliff Golf Club,NORTH_YORKSHIRE
Scarborough South Cliff Golf Club,NORTH_YORKSHIRE
Scarthingwell Golf Club,NORTH_YORKSHIRE
Selby Golf Club,NORTH_YORKSHIRE
Settle Golf Club,NORTH_YORKSHIRE
Skelton Park Golf Course,NORTH_YORKSHIRE
Skipton Golf Club,NORTH_YORKSHIRE
Spofforth Golf Club,NORTH_YORKSHIRE
Stokesley Golf Range,NORTH_YORKSHIRE
Swallow Hall Golf Club,NORTH_YORKSHIRE
Teesside Golf Club,NORTH_YORKSHIRE
The Oaks Golf Club & Spa,NORTH_YORKSHIRE
Thirsk and Northallerton Golf Club,NORTH_YORKSHIRE
Thistle Hill Golf Club,NORTH_YORKSHIRE
Wensleydale Golf Ltd,NORTH_YORKSHIRE
Whitby Golf Club,NORTH_YORKSHIRE
Wilton Golf Club,NORTH_YORKSHIRE
York Golf Academy,NORTH_YORKSHIRE
York Golf Club,NORTH_YORKSHIRE
Beverley and East Riding Golf Club,EAST_YORKSHIRE
Boothferry Golf Club,EAST_YORKSHIRE
Bridlington Golf Club,EAST_YORKSHIRE
Bridlington Links Golf & Leisure Estate,EAST_YORKSHIRE
Brough Golf Club,EAST_YORKSHIRE
Burstwick Country Golf,EAST_YORKSHIRE
Cave Castle Golf Club,EAST_YORKSHIRE
Cherry Burton Golf Club,EAST_YORKSHIRE
Cottingham Parks Golf & Leisure Club,EAST_YORKSHIRE
Driffield Golf Club,EAST_YORKSHIRE
Far Grange Golf Park,EAST_YORKSHIRE
Flamborough Head Golf Club,EAST_YORKSHIRE
Ganstead Park Golf Club,EAST_YORKSHIRE
Hessle Golf Club,EAST_YORKSHIRE
Hornsea Golf Club,EAST_YORKSHIRE
Hull Golf Club,EAST_YORKSHIRE
Skidby Lakes Golf Club,EAST_YORKSHIRE
Sutton Park Golf Course,EAST_YORKSHIRE
Withernsea Golf Club,EAST_YORKSHIRE
Abbeydale Golf Club,SOUTH_YORKSHIRE
Barnsley Golf Club (The Limes),SOUTH_YORKSHIRE
Bawtry (Austerfield) Golf Club,SOUTH_YORKSHIRE
